db_path,location,map_version,vehicle_name
data/data/cache/mini/2021.05.12.22.00.38_veh-35_01008_01518.db,las_vegas,us-nv-las-vegas-strip,veh-35
data/data/cache/mini/2021.05.12.22.28.35_veh-35_00620_01164.db,las_vegas,us-nv-las-vegas-strip,veh-35
data/data/cache/mini/2021.05.12.23.36.44_veh-35_00152_00504.db,las_vegas,us-nv-las-vegas-strip,veh-35
data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db,las_vegas,us-nv-las-vegas-strip,veh-35
data/data/cache/mini/2021.05.12.23.36.44_veh-35_02035_02387.db,las_vegas,us-nv-las-vegas-strip,veh-35
data/data/cache/mini/2021.05.25.14.16.10_veh-35_01690_02183.db,las_vegas,us-nv-las-vegas-strip,veh-35
data/data/cache/mini/2021.06.03.12.02.06_veh-35_00233_00609.db,las_vegas,us-nv-las-vegas-strip,veh-35
data/data/cache/mini/2021.06.03.13.55.17_veh-35_00073_00426.db,las_vegas,us-nv-las-vegas-strip,veh-35
data/data/cache/mini/2021.06.07.12.54.00_veh-35_01843_02314.db,las_vegas,us-nv-las-vegas-strip,veh-35
data/data/cache/mini/2021.06.07.18.53.26_veh-26_00005_00427.db,las_vegas,us-nv-las-vegas-strip,veh-26
data/data/cache/mini/2021.06.08.12.54.54_veh-26_04262_04732.db,las_vegas,us-nv-las-vegas-strip,veh-26
data/data/cache/mini/2021.06.08.14.35.24_veh-26_02555_03004.db,las_vegas,us-nv-las-vegas-strip,veh-26
data/data/cache/mini/2021.06.08.16.31.33_veh-38_01589_02072.db,las_vegas,us-nv-las-vegas-strip,veh-38
data/data/cache/mini/2021.06.09.11.54.15_veh-12_04366_04810.db,las_vegas,us-nv-las-vegas-strip,veh-12
data/data/cache/mini/2021.06.09.12.39.51_veh-26_01943_02303.db,las_vegas,us-nv-las-vegas-strip,veh-26
data/data/cache/mini/2021.06.09.12.39.51_veh-26_05620_06003.db,las_vegas,us-nv-las-vegas-strip,veh-26
data/data/cache/mini/2021.06.09.14.03.17_veh-12_02584_02970.db,las_vegas,us-nv-las-vegas-strip,veh-12
data/data/cache/mini/2021.06.09.14.58.55_veh-35_01095_01484.db,las_vegas,us-nv-las-vegas-strip,veh-35
data/data/cache/mini/2021.06.09.14.58.55_veh-35_01894_02311.db,las_vegas,us-nv-las-vegas-strip,veh-35
data/data/cache/mini/2021.06.09.17.23.18_veh-38_00773_01140.db,las_vegas,us-nv-las-vegas-strip,veh-38
data/data/cache/mini/2021.06.09.17.23.18_veh-38_02526_03027.db,las_vegas,us-nv-las-vegas-strip,veh-38
data/data/cache/mini/2021.06.09.17.37.09_veh-12_00404_00864.db,las_vegas,us-nv-las-vegas-strip,veh-12
data/data/cache/mini/2021.06.14.16.32.09_veh-35_05038_05402.db,las_vegas,us-nv-las-vegas-strip,veh-35
