demo_id,t,timestamp,x,y,vx,vy,db_path
0,0,1620864051001510,664413.6129906788,3997304.485766988,0.00010181303497163886,-0.00040965594613569044,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,1,1620864051401661,664413.6131253886,3997304.485626443,0.00028096184723058233,-0.0010200875882502285,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,2,1620864051801507,664413.6132277736,3997304.4855841887,0.00012763134272888402,-0.0012020550895343852,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,3,1620864052201252,664413.6132572971,3997304.485545855,-0.0002156278392619415,-0.0007860703545168661,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,4,1620864052600829,664413.6132582254,3997304.485469579,-0.0003344510039299038,-0.00017196936424460118,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,5,1620864053000466,664413.6132741509,3997304.4855017154,-0.0003040421762032189,-7.175923829508735e-05,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,6,1620864053400164,664413.6132775038,3997304.4854980223,9.332194908417044e-05,4.670666661575485e-05,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,7,1620864053800040,664413.6132894777,3997304.485411366,-7.71222716565863e-05,-0.0003231443228339493,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,8,1620864054200072,664413.6133596046,3997304.4853745233,0.00022180170630462268,-0.0005319617164140023,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,9,1620864054600154,664413.6133657,3997304.48533884,-0.0004734158353972808,-0.0005130483977877559,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,10,1620864055000324,664413.6133405856,3997304.485341089,-0.0003297326627586419,-0.0006853390435078952,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,11,1620864055400444,664413.6133053506,3997304.485325348,-0.00041028675986035643,-0.001005852946892256,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,12,1620864055800525,664413.613305025,3997304.4852883257,-0.0005927264975986021,-0.001511426554319733,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,13,1620864056200693,664413.6133626833,3997304.4852522467,-0.00011955081146224681,-0.0004048139938593178,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,14,1620864056600836,664413.6133730302,3997304.4851932647,-0.00013664322015311984,0.00025963170878642633,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,15,1620864057000950,664413.6133726883,3997304.485168074,-4.263356670636281e-05,0.00027610871263162993,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,16,1620864057401040,664413.6133776641,3997304.485156221,-0.000327477076890635,-0.00016908473128230745,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,17,1620864057801150,664413.6133932881,3997304.4851615797,-0.00022240499464732562,-0.00043261001180268724,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,18,1620864058201139,664413.6134389879,3997304.4852429866,0.00031531493559558107,-0.0005302916657844228,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,19,1620864058600907,664413.6135131578,3997304.4852372673,3.8578849857981985e-05,-0.000426453367681536,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,20,1620864059000689,664413.6134748945,3997304.485227833,-0.00022408476817752793,-0.0005398640010076121,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,21,1620864059400565,664413.6134221967,3997304.4852692843,0.00018023359777264805,-0.0007707946545315663,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,22,1620864059800593,664413.6134446273,3997304.4853041205,0.00037545210581069335,-0.0006398095938796815,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,23,1620864060200713,664413.6134771084,3997304.4852774446,0.00033577858431478,-0.000698824401432586,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
0,24,1620864060600869,664413.6134107759,3997304.485245201,-5.3040892534582395e-05,-0.0007627873455246694,data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db
