db_path,start,end,score,center_x,center_y,min_x,max_x,min_y,max_y
data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db,5400,6300,992.6713651721894,664414.8784652331,3997304.224352864,664413.6129906788,664439.3008602237,3997300.9731929735,3997304.485766988
data/data/cache/mini/2021.07.16.20.45.29_veh-35_00600_01084.db,900,1800,852.9700477723148,664471.2455155106,3997266.33303489,664470.2908071768,664471.3293754064,3997262.726391227,3997312.6568835136
data/data/cache/mini/2021.06.28.15.02.02_veh-38_02398_02848.db,6600,7500,838.614229445899,664417.8799314128,3997305.1464634836,664412.9310840787,664464.6484941524,3997301.8534530774,3997322.7367639607
data/data/cache/mini/2021.05.12.22.00.38_veh-35_01008_01518.db,6000,6900,776.1660155430105,664432.305213511,3997349.8837156426,664432.2107506087,664433.1751453805,3997291.6155174496,3997355.54022531
data/data/cache/mini/2021.06.28.16.29.11_veh-38_03263_03766.db,9000,9900,711.3349306734592,664467.4464229579,3997435.567784563,664467.3759769974,664468.1279813794,3997398.8234134326,3997438.9422288393
data/data/cache/mini/2021.06.28.16.29.11_veh-38_03263_03766.db,7800,8700,677.3779764524648,664381.8065248753,3997315.946319873,664376.6884726979,664429.9815113421,3997301.4831460225,3997317.7005870254
data/data/cache/mini/2021.06.23.16.54.19_veh-35_00808_01256.db,300,1200,657.8416295558956,664429.8903186305,3997321.0337273227,664413.4959361765,664469.352036502,3997301.2930324418,3997437.565432715
data/data/cache/mini/2021.07.16.18.06.21_veh-38_04471_04922.db,5100,6000,622.077831187501,664472.0420751313,3997239.7800288848,664471.9718375041,664472.8182705403,3997200.2810817217,3997243.7494590245
data/data/cache/mini/2021.07.16.20.45.29_veh-35_00600_01084.db,300,1200,615.5114153119507,664471.4443766894,3997257.63221482,664471.3291134337,664472.6103756796,3997210.2350949096,3997262.7842444275
data/data/cache/mini/2021.06.28.16.29.11_veh-38_03263_03766.db,7500,8400,604.8720714937184,664373.5628297736,3997318.7447885643,664340.7795787517,664376.7369124823,3997317.6383623644,3997329.7455138597
data/data/cache/mini/2021.07.16.18.06.21_veh-38_04471_04922.db,5700,6600,602.964689708431,664471.5226613859,3997260.852150027,664469.5834840371,664471.9818146868,3997243.7039760984,3997342.9540375993
data/data/cache/mini/2021.05.12.23.36.44_veh-35_01133_01535.db,5700,6600,602.0609658983855,664431.0468207033,3997319.520466002,664413.6133167733,664467.102850448,3997300.9731929735,3997416.3521568542
